% function evaluation | noise-free fitness - Fopt (-1,694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6,114469910e+01 +6,114469910e+01 +4,420469910e+01 +4,420469910e+01 +1,2977e+00 -2,7915e+00 +1,2557e+00 +2,1567e-01 +9,7854e-01 -2,0714e+00 +3,3154e+00 -4,0556e-01 +4,8650e+00 -3,4329e+00
5 +1,897460598e+01 +1,897460598e+01 +2,034605978e+00 +2,034605978e+00 +3,9151e-01 +1,4564e+00 -3,3128e+00 +2,7755e+00 +2,8984e+00 -2,5772e+00 -1,0819e+00 -9,5777e-01 +4,3889e+00 +4,2531e-01
76 +1,286355751e+01 +1,286355751e+01 -4,076442487e+00 -4,076442487e+00 +2,3806e+00 +2,0936e+00 -1,3217e+00 +4,6788e+00 +1,4112e+00 +8,4007e-01 +3,9209e+00 +2,7315e+00 -3,2327e-01 -2,6644e+00
287 +8,962947951e+00 +8,962947951e+00 -7,977052049e+00 -7,977052049e+00 +1,2977e+00 +4,2983e+00 -3,6709e+00 +4,4684e+00 +2,0523e+00 -3,6355e+00 +2,6882e+00 +1,0715e+00 +4,7675e+00 +4,4702e-01
512 +4,171233700e+00 +4,171233700e+00 -1,276876630e+01 -1,276876630e+01 +4,2058e+00 +2,6434e+00 -4,8401e+00 +8,4196e-01 +6,6458e-01 -1,4806e+00 +2,3612e+00 -9,4039e-01 -3,2272e+00 -3,1202e+00
968 +3,442984590e+00 +3,442984590e+00 -1,349701541e+01 -1,349701541e+01 +2,7103e+00 +3,7130e+00 -2,7131e+00 +1,1362e+00 +2,8469e+00 -1,6255e+00 +2,6507e+00 -2,5595e+00 -1,5593e+00 -1,3277e+00
1395 +2,305465796e+00 +2,305465796e+00 -1,463453420e+01 -1,463453420e+01 +4,6993e+00 +2,8289e+00 -1,4918e+00 +1,0574e+00 -2,0327e-01 -2,2638e+00 +2,7102e+00 -2,3336e+00 -4,6604e-01 -9,0906e-01
2861 +1,501929664e+00 +1,501929664e+00 -1,543807034e+01 -1,543807034e+01 +3,7076e+00 +2,6913e+00 -2,9609e+00 +5,9772e-01 +1,2287e+00 -1,8034e+00 +3,3081e+00 -1,6079e+00 -1,1725e+00 -2,6904e+00
3473 +7,374060711e-01 +7,374060711e-01 -1,620259393e+01 -1,620259393e+01 +3,2686e+00 +2,5144e+00 -1,7066e+00 +1,1026e+00 +1,7586e+00 -1,9717e+00 +3,5124e+00 -2,6587e+00 -9,7401e-01 -2,2684e+00
3854 +3,982299229e-01 +3,982299229e-01 -1,654177008e+01 -1,654177008e+01 +3,4241e+00 +2,4294e+00 -1,1941e+00 +1,6021e+00 +1,2315e+00 -1,8329e+00 +3,3750e+00 -2,3477e+00 -2,9608e-01 -2,2078e+00
95109 +3,299972463e-01 +3,299972463e-01 -1,661000275e+01 -1,661000275e+01 +3,7379e+00 +2,5811e+00 -1,2143e+00 +1,4917e+00 +1,4691e+00 -1,9849e+00 +3,5157e+00 -2,2835e+00 -3,3349e-01 -2,0635e+00
