% function evaluation | noise-free fitness - Fopt (-6,211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3,561702590e+08 +3,561702590e+08 +3,561696379e+08 +3,561696379e+08 -3,7667e+00 -2,0864e-01 +3,1714e-01 -1,5945e+00 -2,3744e-01 -3,4227e+00 -1,3464e+00 +4,9534e+00 +1,6536e+00 -3,6864e+00
6 +8,331823929e+07 +8,331823929e+07 +8,331761818e+07 +8,331761818e+07 +2,5400e+00 +3,6942e+00 +1,1764e-01 +8,7783e-01 +2,0812e+00 -1,7817e+00 -4,8554e+00 -4,7097e+00 +1,5086e+00 -1,6125e+00
94 +5,307715579e+07 +5,307715579e+07 +5,307653468e+07 +5,307653468e+07 +8,1480e-01 +2,4832e+00 -9,2447e-01 -2,2382e+00 -9,8886e-02 +3,0227e+00 +3,2614e+00 +3,0576e+00 +2,9020e+00 -3,2439e-01
98 +3,924351232e+07 +3,924351232e+07 +3,924289121e+07 +3,924289121e+07 -1,3889e+00 +4,9408e+00 -1,5756e+00 +1,2338e+00 +1,7483e+00 -3,8148e-01 -1,6541e+00 +3,1790e+00 +2,4506e+00 -8,8814e-01
151 +1,266372042e+07 +1,266372042e+07 +1,266309931e+07 +1,266309931e+07 -2,9333e+00 +3,0845e+00 -1,5794e+00 -3,2681e+00 +8,0587e-01 -4,9726e-01 +1,2348e+00 -4,8369e-01 +2,8063e+00 -2,1268e+00
511 +8,145089524e+06 +8,145089524e+06 +8,144468414e+06 +8,144468414e+06 -1,5218e+00 +3,0635e+00 -1,4867e+00 -1,7148e+00 +2,7391e+00 -2,0521e+00 +4,8852e-01 -1,2791e+00 +2,7032e+00 -1,6543e+00
716 +5,245671739e+06 +5,245671739e+06 +5,245050629e+06 +5,245050629e+06 -1,3889e+00 +4,9408e+00 -1,5756e+00 -3,2681e+00 +8,0587e-01 -2,0521e+00 +4,8852e-01 -1,2791e+00 +2,7032e+00 -1,6543e+00
1221 +3,695083019e+06 +3,695083019e+06 +3,694461909e+06 +3,694461909e+06 -1,5218e+00 +3,0635e+00 +7,5150e-01 -3,2681e+00 +8,0587e-01 -2,0521e+00 +1,3986e+00 -3,9307e-01 +1,0953e+00 -1,2416e+00
2338 +2,471312093e+06 +2,471312093e+06 +2,470690983e+06 +2,470690983e+06 -1,2421e+00 +3,7582e+00 +7,5150e-01 -3,2681e+00 +8,0587e-01 -2,0521e+00 +1,3986e+00 -3,9307e-01 +1,0953e+00 -1,2416e+00
2704 +1,356881993e+06 +1,356881993e+06 +1,356260883e+06 +1,356260883e+06 -1,2421e+00 +3,7582e+00 -3,6873e-01 -3,2681e+00 +8,0587e-01 -2,0521e+00 +1,3986e+00 -3,9307e-01 +1,0953e+00 -1,2416e+00
3578 +9,688604609e+05 +9,688604609e+05 +9,682393509e+05 +9,682393509e+05 -1,0429e+00 +4,2494e+00 -3,2516e-01 -3,2705e+00 +7,0894e-01 -1,8173e+00 +1,1467e+00 -4,0588e-01 +1,9424e+00 -1,2408e+00
